date,symbol,prev_close,open,high,low,close,volume
2026-06-08,RADHI,27.54,778.00,778.00,767.00,774.00,"27,160,407.00"
2026-06-08,RAWA,29.60,567.90,567.90,554.10,562.00,"909,285.00"
2026-06-08,RBBD2088,39.46,"1,069.30","1,075.00","1,069.30","1,075.00","30,010.30"
2026-06-08,RBBF40,23.52,9.50,9.70,9.40,9.42,"19,921.00"
2026-06-08,RBCL,24.01,"15,206.00","15,310.00","15,201.00","15,310.00","1,614,136.00"
2026-06-08,RBCLPO,28.21,"11,990.00","11,990.00","11,703.60","11,900.00","1,297,405.00"
2026-06-08,RFPL,28.81,353.00,373.00,353.00,364.90,"11,173,543.50"
2026-06-08,RHGCL,28.18,287.00,294.00,285.00,285.90,"13,447,548.70"
2026-06-08,RHPL,27.56,280.00,280.00,274.00,274.00,"3,457,567.40"
2026-06-08,RIDI,32.27,355.10,359.00,348.00,352.00,"151,680,315.10"
2026-06-08,RLEL,25.64,965.00,970.00,919.60,928.00,"23,836,033.80"
2026-06-08,RLFL,50.11,470.00,501.00,468.00,494.50,"99,679,714.30"
2026-06-08,RMF1,28.79,9.55,9.83,9.55,9.66,"257,286.40"
2026-06-08,RMF2,23.69,10.15,10.35,10.15,10.35,"5,101.00"
2026-06-08,RNLI,39.84,470.00,477.00,470.00,474.50,"10,510,707.30"
2026-06-08,RSDC,35.48,698.00,698.00,661.80,671.00,"1,324,696.80"
2026-06-08,RSML,30.46,"3,449.50","3,648.00","3,449.50","3,580.00","150,858,231.70"
2026-06-08,RSY,41.87,10.25,10.33,10.18,10.33,"402,017.00"
2026-06-08,RURU,24.72,657.00,657.00,652.20,656.00,"1,836,234.20"
2026-06-08,SABBL,22.87,"1,195.00","1,208.00","1,180.10","1,185.00","12,195,981.90"
2026-06-08,SADBL,43.49,443.60,443.60,415.50,420.00,"7,802,570.90"
2026-06-08,SAGAR,23.96,"1,670.00","1,696.00","1,670.00","1,672.10","5,355,324.00"
2026-06-08,SAGF,23.31,10.10,10.20,10.10,10.10,"13,675.00"
2026-06-08,SAHAS,25.69,667.20,669.90,663.00,664.30,"58,236,275.10"
2026-06-08,SAIL,29.67,"1,088.00","1,110.00","1,050.00","1,057.00","38,760,264.80"
2026-06-08,SALICO,45.56,628.10,646.90,628.10,645.00,"8,445,131.70"
2026-06-08,SAND2085,43.52,"1,152.00","1,152.00","1,152.00","1,152.00","28,800.00"
2026-06-08,SANIMA,34.83,370.00,370.00,365.20,368.00,"49,819,297.30"
2026-06-08,SANVI,31.31,693.00,705.00,680.00,689.50,"11,177,403.30"
2026-06-08,SAPDBL,48.22,872.00,875.00,846.50,848.00,"57,134,262.30"
2026-06-08,SARBTM,28.86,870.00,879.80,860.00,865.20,"4,200,404.40"
2026-06-08,SBCF,31.38,9.60,9.85,9.57,9.59,"281,554.00"
2026-06-08,SBD87,43.53,"1,131.60","1,131.60","1,131.60","1,131.60","56,711,265.60"
2026-06-08,SBD89,39.16,"1,200.00","1,200.00","1,190.00","1,190.00","47,750.00"
2026-06-08,SBI,28.91,396.50,399.90,394.00,399.00,"17,833,669.50"
2026-06-08,SBID2090,29.72,"1,118.00","1,118.00","1,118.00","1,151.50","2,303.00"
2026-06-08,SBID89,26.75,"1,147.00","1,147.00","1,147.00","1,147.00","21,793.00"
2026-06-08,SBL,28.08,405.90,405.90,399.10,401.00,"28,530,587.40"
2026-06-08,SBLD2091,47.70,"1,090.20","1,092.80","1,090.20","1,092.00","464,333.70"
2026-06-08,SBLD84,41.78,"1,178.00","1,178.00","1,178.00","1,120.00","1,120.00"
2026-06-08,SBLD89,26.23,"1,241.00","1,241.00","1,241.00","1,241.00","31,025.00"
2026-06-08,SCB,30.45,655.10,662.00,653.20,657.10,"5,310,645.40"
2026-06-08,SDBD87,29.71,"1,164.90","1,164.90","1,132.00","1,132.00","20,376.00"
2026-06-08,SEF,24.71,10.00,10.00,9.97,9.97,"90,550.00"
2026-06-08,SFCL,50.11,377.10,409.00,376.20,396.10,"14,529,582.90"
2026-06-08,SFEF,38.24,10.14,10.14,10.14,10.14,"396,565.26"
2026-06-08,SFMF,39.11,10.21,10.21,10.21,10.21,"10,210.00"
2026-06-08,SGHC,28.93,370.00,374.00,363.20,365.50,"4,635,188.90"
2026-06-08,SGIC,44.17,510.00,510.00,498.10,501.00,"14,933,401.50"
2026-06-08,SHEL,29.04,322.00,322.00,313.50,314.30,"35,963,814.20"
2026-06-08,SHINE,32.28,416.00,419.30,414.20,417.00,"6,990,059.30"
2026-06-08,SHINED,28.55,"1,100.00","1,100.00","1,096.00","1,096.00","219,825.00"
2026-06-08,SHIVM,26.82,680.00,715.00,667.50,673.00,"63,255,626.50"
2026-06-08,SHL,27.82,505.00,518.00,500.00,503.10,"9,083,614.00"
2026-06-08,SHLB,41.87,"1,501.00","1,528.00","1,500.00","1,528.00","202,810.00"
2026-06-08,SHPC,25.98,524.50,524.50,515.60,516.00,"14,165,961.70"
2026-06-08,SICL,50.11,645.10,660.00,644.00,656.60,"25,110,023.10"
2026-06-08,SIFC,47.19,550.00,587.00,550.00,572.60,"48,302,658.00"
2026-06-08,SIGS2,34.18,10.55,10.80,10.55,10.80,"72,189.00"
2026-06-08,SIGS3,30.74,11.01,11.25,11.01,11.25,"25,577.00"
2026-06-08,SIKLES,26.07,595.00,603.70,585.00,602.90,"2,426,524.70"
2026-06-08,SINDU,38.22,725.10,762.20,725.10,754.00,"27,117,751.00"
2026-06-08,SIPD,25.77,748.20,790.00,748.20,773.00,"10,674,706.50"
2026-06-08,SJCL,24.68,300.00,304.00,293.40,296.00,"3,342,445.80"
2026-06-08,SJLIC,35.58,417.10,445.00,417.10,438.00,"6,977,514.30"
2026-06-08,SKBBL,24.58,775.00,775.00,764.00,765.80,"3,207,025.10"
2026-06-08,SKHEL,26.73,"1,221.10","1,235.00","1,170.00","1,200.00","8,877,065.90"
2026-06-08,SKHL,23.29,926.00,934.60,901.00,916.90,"20,725,424.10"
2026-06-08,SLBBL,30.53,817.00,835.00,817.00,830.00,"5,392,224.70"
2026-06-08,SLBSL,25.75,"1,230.00","1,239.00","1,191.00","1,209.00","709,347.00"
2026-06-08,SLCF,21.01,10.15,10.15,9.89,10.00,"11,523.00"
2026-06-08,SMATA,41.29,777.70,780.00,773.10,779.60,"3,284,944.50"
2026-06-08,SMB,36.97,"1,760.00","1,760.00","1,735.10","1,750.00","2,000,186.90"
2026-06-08,SMFBS,40.43,"1,535.00","1,549.90","1,511.00","1,520.00","1,078,248.40"
2026-06-08,SMH,30.37,615.00,615.00,578.80,585.30,"5,979,788.10"
2026-06-08,SMHL,27.22,504.00,505.00,500.00,501.00,"16,400,995.50"
2026-06-08,SMJC,34.15,475.00,485.00,470.70,475.00,"24,093,587.60"
2026-06-08,SMPDA,29.41,838.00,841.00,831.20,833.00,"1,624,133.00"
2026-06-08,SNLI,27.75,458.00,461.00,452.00,454.00,"5,580,031.00"
2026-06-08,SOHL,33.54,655.09,661.00,653.00,655.00,"70,659,717.00"
2026-06-08,SONA,31.72,440.00,451.00,432.00,448.00,"29,673,568.50"
2026-06-08,SPC,33.45,457.10,465.00,446.50,459.90,"6,659,293.80"
2026-06-08,SPDL,27.96,405.00,405.00,395.70,398.30,"17,930,793.40"
2026-06-08,SPHL,47.22,600.00,708.00,595.00,632.00,"51,743,824.90"
2026-06-08,SPIL,40.02,700.00,750.00,700.00,740.70,"4,509,925.10"
2026-06-08,SPL,24.94,691.30,720.00,691.30,711.00,"870,750.30"
2026-06-08,SRLI,46.32,395.40,410.00,395.20,410.00,"11,912,890.20"
2026-06-08,SSHL,22.42,215.00,216.00,213.40,214.00,"23,541,520.20"
2026-06-08,STC,30.33,"5,400.30","5,450.00","5,400.30","5,450.00","2,977,462.00"
2026-06-08,SWASTIK,39.31,"2,380.00","2,385.00","2,340.00","2,379.00","2,063,106.60"
